name,teacherName,schoolName,schoolSN,id,url
算法设计与分析入门,王宏志,哈尔滨工业大学,HIT,356006,https://www.icourse163.org/course/HIT-356006
Python科学计算三维可视化,黄天羽,北京理工大学,BIT,1001871001,https://www.icourse163.org/course/BIT-1001871001
软件工程专业导论,徐晓飞,哈尔滨工业大学,HIT,298007,https://www.icourse163.org/course/HIT-298007
高级语言程序设计,张长海,吉林大学,JLU,62001,https://www.icourse163.org/course/JLU-62001
版式设计与计算机排版,李文育,陕西科技大学,SUST,1205779814,https://www.icourse163.org/course/SUST-1205779814
大学计算机和人工智能基础CAP,周围,北京交通大学,NJTU,1001691004,https://www.icourse163.org/course/NJTU-1001691004
VB.NET程序设计,张晓芳,华中科技大学,HUST,1001936007,https://www.icourse163.org/course/HUST-1001936007
智能机器人系统,卢惠民,国防科技大学,NUDT,1205969803,https://www.icourse163.org/course/NUDT-1205969803
计算机系统基础(三)：异常、中断和输入/输出,袁春风,南京大学,NJU,1002532004,https://www.icourse163.org/course/NJU-1002532004
网络技术与应用,沈鑫剡,中国人民解放军陆军工程大学,PAEU,315001,https://www.icourse163.org/course/PAEU-315001
软件工程,张爽,东北大学,NEU,1001812013,https://www.icourse163.org/course/NEU-1001812013
算法设计与问题求解,乔亚男,西安交通大学,XJTU,1002838006,https://www.icourse163.org/course/XJTU-1002838006
模式识别与机器学习,于元隆,福州大学,FZU,1206674825,https://www.icourse163.org/course/FZU-1206674825
计算机系统基础（二）：程序的执行和存储访问,袁春风,南京大学,NJU,1001964032,https://www.icourse163.org/course/NJU-1001964032
计算思维的结构,董荣胜,桂林电子科技大学,GLIET,1001663006,https://www.icourse163.org/course/GLIET-1001663006
Visual Basic程序设计,刘必雄,福建农林大学,FAFU,1002763014,https://www.icourse163.org/course/FAFU-1002763014
面向对象分析与设计,姜宁康,华东师范大学,ECNU,1003434002,https://www.icourse163.org/course/ECNU-1003434002
计算机系统与网络安全技术,周世杰,电子科技大学,UESTC,235006,https://www.icourse163.org/course/UESTC-235006
