name,teacherName,schoolName,outline
算法设计与分析入门,王宏志,哈尔滨工业大学,第一讲 算法概述算法概述第二讲 算法分析的数学基础算法分析的数学基础第三讲 分治算法分治算法第四讲 动态规划动态规划第五讲 贪心算法贪心算法第六讲 搜索策略搜索策略第七讲 字符串搜索字符串搜索
Python科学计算三维可视化,黄天羽,北京理工大学,【第〇周】三维可视化之前奏“三维可视化”课程内容导学【第一周】三维可视之基础运用第一周课程导学第一单元TVTK入门第二单元TVTK管线与数据加载TVTK库安装课后阅读拓展：VTK介绍（VTK Overview by Han-Wei Shen）【第二周】三维可视之基础实战第三单元TVTK库可视化实例第四单元TVTK库实战练习课后阅读扩展：VTK/ITK的简单应用(by Hui-Huang Zhao)【第三周】三维可视之高级进阶第五单元Mayavi入门第六单元Mlab基础课后扩展阅读：Mayavi介绍（3D Visualization with Mayavi by  Prabhu Ramachandran）【第四周】三维可视之进阶实战第七单元Mayavi可视化实例第八单元Mayavi库实战练习课后扩展学习：Mayavi高级动画（Using mayavi.mlab Animation by Prabhu Ramachandran）【第五周】三维可视之交互界面第九单元Traits基础第十单元TraitsUI入门【第六周】三维可视之界面实战第十一单元TraitsUI与Mayavi实例第十二单元界面实战练习【第七周】*三维可视之运算（选修）第十三单元SciPy基础一第十四单元SciPy基础二第十五单元SciPy可视化实例
软件工程专业导论,徐晓飞,哈尔滨工业大学,第一讲 软件之启蒙--初识软件工程专业0.0 软件工程专业导论课程引言1.1 开始认识软件工程1.2 软件工程的基本概念1.3 计算机发展历程及趋势1.4 软件工程的发展及趋势1.5 软件工程专业学科及范畴1.6 软件工程的知识体系第二讲 计算思维起步--符号化、计算化与自动化2.1 思维能否计算--逻辑的符号化与计算化2.2 图像能否隐藏信息--非数学的符号化与计算化2.3 怎样实现自动计算--计算与硬件2.4 怎样实现复杂计算的自动化--计算与机器级程序及其执行2.5 怎样编写程序--高级语言基础内容--信息表示、进位制及转换与小数点之处理第三讲 软件与程序思想--组合-抽象-重复-构造-递归3.1 为什么需要程序--程序与计算系统3.2 基于运算组合式的构造示例--组合与抽象3.3 递归与迭代--重复性构造的表达与执行3.4 用计算机语言实现递归和迭代基础内容：高级语言程序的构成要素及其执行第四讲 软件之灵魂--算法4.1 为什么需要算法4.2 数学建模与算法策略设计4.3 算法数据结构与控制结构设计4.4 算法的实现--程序设计4.5 算法的复杂性分析与可解难解问题第五讲 软件系统构造--函数-对象-组件与软件框架5.1 面向对象的概念5.2 面向对象的程序设计语言与统一建模语言5.3 基于对象框架构造软件与面向对象构造软件5.4 组件化构造软件与服务化构造软件5.5 软件构造方法之演变第六讲 软件生命周期6.1 软件特性与软件生命周期模型6.2 基本软件过程与软件模型6.3 模型驱动与软件方法论6.4 软件环境与云环境第七讲 理解问题--软件需求7.1 为什么要理解需求7.2 理解需求的一种方法：结构化思维及其举例7.3 再谈需求分析第八讲 软件的艺术--软件设计8.1 什么是软件设计及软件设计范畴8.2 软件设计的一种思维：面向对象的思维及其设计举例8.3 软件设计的艺术--三个软件设计示例8.4 软件设计的本质9.1 软件质量9.3 软件维护与软件演化9.4 软件过程第十讲 成功之保障—软件项目管理10.1 软件项目管理的概念与重要性10.2 软件项目管理过程10.3 软件度量与软件项目计划10.4 小结第十一讲 软件之人才–软件工程教育与职业发展11.1 软件工程人才需求11.2 软件工程人才的知识、能力与素质11.3 软件工程专业的培养方案与课程体系11.4 软件工程学生的学习方法与能力提高11.5 软件工程专业人才的职业发展
高级语言程序设计,张长海,吉林大学,第一讲：绪论与程序初步1.1  鸡兔同笼——计算1.2  算法1.3 程序2.1 求绿化带宽度2.2  基本符号第一讲：绪论与程序初步--客观题第一讲：绪论与程序初步--编程题第二讲：顺序程序设计2.3  数据2.4  语句2.5  表达式2.6  顺序控制结构2.7  数据类型2.8  输入输出第二讲：顺序程序设计--客观题第二讲：顺序程序设计--编程题第三讲：分支和循环初步3.1  判断成绩是否及格——双分支程序设计3.2  成绩加上获奖信息——单分支程序设计3.3  逻辑判断——布尔类型3.4  获奖分等级——多分支程序设计4.1  计算平均成绩——循环程序设计第三讲：分支和循环初步--客观题第三讲：分支和循环初步--编程题第四讲：循环进阶4.2  计算全班每人平均成绩——多重循环4.3  程序设计实例第四讲：循环进阶--客观题第四讲：循环进阶--编程题第四讲：循环进阶--编程题--拓展篇（不计入成绩）第四讲：循环进阶--编程题--反弹距离（修正）（不计入成绩）第五讲：函数和数组初步5.1  求给定三角形重心5.2  函数6.1  成绩统计——数组类型6.2  统计多科成绩——多维数组6.3  程序设计实例第五讲：函数和数组初步--客观题第五讲：函数和数组初步--编程题第六讲：数组应用6.4  线性表——分类与检索6.5  带学号的成绩排序——数组初值6.6  表示姓名——字符串第六讲：数组应用--客观题第六讲：数组应用--编程题第六讲：数组应用--编程题--拓展篇（不计入成绩）第七讲：数组进阶与指针初步6.7  类型定义6.8  线性表——栈和队列7.1 指针与变量第七讲：数组进阶与指针初步--客观题第七讲：数组进阶与指针初步--编程题第八讲：指针应用与结构体7.2  指针操作7.3  指针与数组7.4  指针与字符串8.1  成绩单管理8.2  保存成绩单——结构体8.3  程序设计实例第八讲：指针应用与结构体--客观题第八讲：指针应用与结构体--编程题第八讲：指针应用 & 结构体--编程题--拓展篇（不计入成绩）第九讲：函数进阶与递归程序设计9.1  参数9.2  函数值10.1  递归程序设计10.2  程序设计实例第九讲：函数进阶与递归程序设计--客观题第九讲：函数进阶与递归程序设计--编程题第九讲：函数进阶与递归程序设计--编程题--拓展篇（不计入成绩）第九讲：函数进阶与递归程序设计--编程题--递归求解最大字符串（修正）（不计入成绩）第十讲：文件11.1 户籍管理11.2 文件概述11.3 文件打开关闭11.4 文件IO操作第十讲：外部数据组织--文件--客观题第十一讲：程序开发与动态变量12.1 自顶向下逐步求精12.2 结构化程序设计原则12.3 程序风格13.1 保存实数序列——动态数据结构13.2 动态变量第十一讲：程序开发与动态变量--客观题第十一讲：程序开发与动态变量--编程题第十二讲：动态变量应用——链表13.3 链表13.4 程序设计实例第十二讲：动态变量应用--客观题第十二讲：动态变量应用--编程题
VB.NET程序设计,张晓芳,华中科技大学,第1讲 算法与程序设计课程导学1.1 计算机数据的编码1.2 计算机问题求解及算法1.3 计算机语言的前世今生第2讲 VB.NET程序设计入门2.1 面向对象基本概念2.2 创建VB.NET应用程序的步骤2.3 VB.NET窗体应用程序结构和编码规则第3讲 VB.NET可视化编程3.1 窗体与基本控件3.2 可视化界面设计第4讲  VB.NET语言基础4.1 数据类型4.2 常量4.3 变量4.4 函数第5讲 表达式与赋值语句5.1 运算符和表达式5.2 赋值语句第6讲 数据的分支处理6.1  单分支结构6.2  双分支结构6.3  多分支结构6.4  IF语句的嵌套第7讲 数据的循环处理7.1 For … Next 语句7.2 For … Next 例子(1)7.3 For … Next 例子(2)7.4 Do ... Loop 语句7.5 Do … Loop 语句例子第8讲 多重循环及综合案例8.1 多重循环8.2 斐波那契数列8.3 多重循环例子 — 素数8.4 多重循环例子 -- 百钱买百鸡第9讲 数组（一）9.1 数组概念9.2 一维数组概念9.3 一维数组的赋值与输出第10讲 数组（二）10.1 一维数组的基本操作10.2 二维数组10.3 数组综合实例第11讲 过程11.1 函数过程11.2 子过程11.3 参数的传递11.4 综合运用第12讲 用户界面设计12.1 单选按钮和复选框12.2 列表框12.3 滚动条12.4 计时器12.5 图片框
智能机器人系统,卢惠民,国防科技大学,第1章 智能机器人系统绪论1.1 从机器人到智能机器人1.2 智能机器人关键技术与典型案例第2章 智能机器人平台与系统2.1 机器人的运动机构—轮式2.2 机器人的运动机构—腿式2.3 机器人的运动机构—履带式和复合式2.4 机器人的运动机构—设计过程与案例2.5 机器人的驱动方式2.6 机器人操作系统—ROS基本概念2.7 机器人操作系统—ROS重要工具第3章 机器人运动控制（上）3.1 轮式机器人构型3.2 机器人运动规划—N个控制点的B样条曲线3.3 机器人运动规划—过起点和终点的B样条曲线3.4 机器人运动规划—B样条曲线的曲率3.5 机器人运动学模型—Car-Like小车运动学模型3.6 机器人运动学模型—Tank-Like小车运动学模型第3章 机器人运动控制（下）3.7 机器人动力学模型及简化3.8 机器人路径跟踪控制—控制误差分析3.9 机器人路径跟踪控制—Car-Like小车曲线跟踪线性化模型及控制器设计3.10 机器人路径跟踪控制—Tank-Like小车曲线跟踪线性化模型及控制器设计第4章 机器人传感器4.1 机器人传感器概述4.2 机器人的测距传感器4.3 机器人视觉—针孔相机模型4.4 机器人视觉—透视投影4.5 机器人视觉—双目立体相机第5章 机器人自主定位与建图5.1 机器人自主定位与建图技术简介5.2 三维刚体运动的描述5.3 贝叶斯滤波框架5.4 非线性优化5.5 同步定位与建图（SLAM）5.6 视觉SLAM5.7 SLAM中地图的表示方法第6章 多机器人协同控制6.1 多机器人系统简介16.2 多机器人系统简介26.3 多机器人仿真系统6.4 多机器人任务分配16.5 多机器人任务分配26.6 多机器人编队控制6.7 智能人机交互6.8 人机共享控制
计算机系统基础(三)：异常、中断和输入/输出,袁春风,南京大学,第一周 进程和进程的上下文切换第一周引言第1讲 异常控制流的概念第2讲 程序和进程第3讲 进程的逻辑控制流第4讲 进程的上下文切换第5讲 进程的存储器映射第6讲 共享对象和私有的写时拷贝对象第7讲 用户态和内核态第8讲 程序的加载和运行课件PPT第二周 异常和中断第二周引言第1讲  异常和中断的基本概念第2讲  异常和中断的基本处理过程第3讲  异常的分类第4讲  故障类异常及举例第5讲  陷阱类和终止类异常第6讲  中断的概念第7讲  异常/中断的响应过程课件PPT第三周 IA-32中的异常/中断机制第三周引言第1讲  x86实地址模式下异常/中断处理第2讲  x86保护模式下异常/中断处理第3讲  IA-32中异常/中断响应过程第4讲  IA-32中异常/中断返回过程课件PPT第四周 IA-32/Linux中异常/中断处理第四周引言第1讲  Linux中对IDT的初始化第2讲  Linux异常处理举例第3讲  IA-32/Linux对中断的处理第4讲  IA-32/Linux的系统调用处理第5讲 软中断指令int 0x80的执行过程课件PPT第五周 用户空间I/O软件第五周引言第1讲  I/O子系统概述第2讲  用户I/O软件与系统调用第3讲  文件的基本概念第4讲  头文件stdio.h内容理解第5讲  文件操作举例课件PPT第六周 系统总线和系统互连第六周引言第1讲  系统总线及互连概述第2讲  总线的基本概念和性能指标第3讲  三种系统总线及系统互连第4讲  外设和外设控制器课件PPT第七周 I/O方式和内核空间I/O软件第七周引言第1讲  程序查询方式第2讲  中断I/O方式第3讲  中断处理过程第4讲  中断屏蔽和多重中断第5讲  程序查询和中断方式的比较第6讲  DMA方式第7讲  内核空间I/O软件课件PPT
网络技术与应用,沈鑫剡,中国人民解放军陆军工程大学,课程先导语（5分35秒，1视频）先导语（5分35秒）第1讲 概论（106分39秒，11视频）1.1 网络内涵（2分58秒，1视频）1.2 互联网发展过程（15分15秒，1视频）1.3 交换方式（43分02秒，4视频）1.4 计算机网络体系结构和协议（37分22秒，4视频）1.5 网络分类（PDF）1.6 例题分析（8分02秒，1视频）1.7 互联网的启示和思政元素（PDF）第2讲 数据通信基础（100分50秒，13视频）2.0 数据通信基础（2分44秒，1视频）2.1 数据传输系统（6分58秒，1视频）2.2 信号（10分52秒，1视频）2.3 编码和调制（14分31秒，2视频）2.4 差错控制（18分10秒，2视频）2.5 传输媒体（8分49秒，1视频）2.6 Cisco Packet Tracer6.2使用说明（11分06秒，1视频）2.7  华为eNSP使用简介（7分56秒，1视频）2.8 CLI命令视图（10分05秒，1视频）2.9 报文捕获过程（3分56秒，1视频）例题分析（5分43秒，1视频）数据传输系统的启示和思政元素（PDF）第3讲 以太网（187分55秒，18视频）3.2 总线形以太网（48分37秒，5视频）3.3 网桥与冲突域分割（34分22秒，3视频）3.4 交换式以太网与VLAN（72分36秒，6视频）3.5 以太网标准（PDF）3.6 例题分析（13分28秒，1视频）3.7 案例设计（12分52秒，1视频）以太网的启示和思政元素拓展学习第4讲 无线局域网（108分09秒，13视频）4.1 无线局域网概述（19分09秒，2视频）4.2 无线局域网应用方式（17分08秒，1视频）4.3 无线局域网MAC层（30分钟35秒，2视频）4.4 终端接入无线局域网过程（15分16秒，1视频）4.5 无线局域网设计和分析（23分47秒，2视频）4.6 例题分析（5分23秒，1视频）无线局域网的启示和思政元素（PDF）拓展学习第5讲 IP和网络互连（267分04秒，25视频）5.1 网络互连机制（8分08秒，1视频）5.2 网际协议（45分51秒，3视频）5.3 IP分组传输过程（6分04秒，1视频)5.4 路由表建立过程（53分52秒，4视频）5.5 IP over以太网（17分04秒，2视频）5.6 三层交换机与VLAN间通信过程（78分21秒，8视频）5.7 Internet控制报文协议（8分55秒，1视频）5.8 IP和网络互连的启示和思政元素（PDF）5.9 案例设计（19分08秒，1视频）5.10 例题分析（24分31秒，3视频）拓展学习第6讲 Internet接入技术（77分48秒，8视频）6.1 Internet接入控制机制（16分20秒，1视频）6.2 以太网和ADSL接入技术（22分48秒，2视频）6.3 家庭局域网接入方式与无线路由器(24分55秒，2视频）6.4 接入综合演示实验（6分05秒，1视频）6.5 Internet接入技术的启示和思政元素（PDF）6.6 例题分析（3分18秒，1视频）第7讲 传输层（85分37秒，10视频）7.1 传输层服务特性（8分02秒，1视频）7.2 端口号（4分57秒，1视频）7.3 用户数据报协议UDP（7分58秒，1视频）7.4 传输控制协议TCP（54分19秒，5视频）7.5 传输层启示和思政元素（PDF）7.6 例题分析（6分26秒，1视频）第8讲 应用层（138分33秒，14视频）8.1 应用结构（8分37秒，1视频）8.2 域名解析（44分38秒，4视频）8.3 动态主机配置协议（52分33秒，5视频）8.4 万维网（5分55秒，1视频）8.5 电子邮件（PDF）8.6 文件传输协议（PDF）8.7 例题分析（11分51秒，1视频）8.8 案例设计（12分40秒，1视频）8.9 应用层的启示和思政元素（PDF）第9讲 网络安全（211分10秒，19视频）9.1 网络安全概述（47分22秒，4视频）9.2 网络安全基础（28分33秒，2视频）9.3 病毒检测与防御技术（14分03秒，1视频）9.4 以太网安全技术（24分04秒，3视频）9.5 无线局域网安全技术（20分57秒，2视频）9.6 防火墙（22分13秒，2视频）9.6B 防火墙演示实验（16分42秒，1视频）9.7 安全协议（20分54秒，1视频）9.8 例题分析（4分25秒，1视频）9.9 案例设计（7分27秒，1视频）9.10 网络安全的启示和思政元素（PDF）综合应用分析（26分10秒，1视频）综合应用分析（26分10秒，1视频）Cisco实际设备网络构建与配置（27分47秒，1视频）Cisco实际设备网络构建与配置（27分47秒，1视频）
软件工程,张爽,东北大学,第一章 引言1.1 软件的概念1.2 软件危机与软件工程1.3 软件工程职业道德和从业规范第二章 软件过程2.1 软件过程第三章 软件需求3.1 什么是需求3.2 获取需求3.3 快速原型3.4 需求案例第四章 面向对象范型4.1 内聚4.2 耦合4.3 数据封装与信息隐藏4.4 类的继承4.5 类的聚合4.6 类的关联4.7 多态与动态绑定4.8 OO范型4.9 UML第五章 面向对象分析5.1 用例建模5.2 用例图5.3 类建模5.4 动态建模第六章 面向对象设计6.1 软件系统设计6.2 面向对象设计第七章 实现与集成7.1 编程语言7.2 良好的编程习惯7.3 实现与集成第八章 维护8.1 维护的必要性8.2 对维护人员的要求第九章 软件生命周期模型9.1 软件生命周期模型第十章 软件项目管理10.1 软件项目管理基本概念10.2 软件项目管理知识体系10.3 软件项目管理--范围管理10.4 软件项目管理--组织结构10.5 软件项目管理--时间管理10.6 软件项目管理--成本管理
计算机系统基础（二）：程序的执行和存储访问,袁春风,南京大学,第一周 程序执行概述第一周 程序执行概述引言第1讲  程序和指令的关系第2讲  一条指令的执行过程第3讲  IA-32指令的大致执行过程第4讲  CPU的基本功能与结构课件PPT第二周 主存储器组织第二周 主存储器组织引言第1讲  存储器基本概念第2讲  主存的基本结构第3讲  主存的性能指标第4讲  半导体存储器组织第5讲  内存条组织与总线宽度第6讲  主存模块的连接与读写操作课件PPT第三周 磁盘存储器第三周磁盘存储器引言第1讲  磁盘存储器的结构第2讲  磁盘驱动器以及操作过程第3讲  磁盘存储器的组成第4讲  磁盘存储器的连接与操作课件PPT第四周 高速缓存概述第四周高速缓存概述引言第1讲 存储器层次结构概述第2讲 Cache基本概述第3讲 Cache映射方式第4讲 Cache命中率和缺失率第5讲 Cache的关联度课件PPT第五周 Cache替换算法和写策略第五周 Cache替换算法和写策略引言第1讲 Cache替换算法第2讲  Cache写策略（一致性问题）第3讲  Cache实现的几个因素第4讲  Cache实现举例第5讲  Cache综合计算举例课件PPT第六周 虚拟存储器第六周虚拟存储器引言第1讲  分页存储管理的基本概念第2讲  虚拟存储器及虚拟地址空间第3讲  分页存储管理的实现第4讲  存储器层次结构及其访问过程第5讲  段式和段页式虚拟存储管理第6讲 存储保护课件PPT第七周 IA-32/Linux中的地址转换第七周IA-32/Linux中的地址转换引言第1讲  IA-32的地址转换和寻址方式第2讲  段选择符和段寄存器第3讲  段描述符和段描述符表第4讲  逻辑地址向线性地址的转换第5讲  线性地址向物理地址的转换第6讲  Intel Core i7/Linux存储系统课件PPT
